2020-04-01 10:33:55:3355 info: User: aadlercr | Method: GET | To: /api/users/me | Query: {}
2020-04-01 10:34:04:344 info: User: aadlercr | Method: GET | To: /api/users/me | Query: {}
2020-04-01 10:37:07:377 info: User: aadlercr | Method: POST | To: /api/blog/comment/create_comment | Body: {"threadId":126,"content":"","authorId":1}
2020-04-01 10:39:03:393 info: User: aadlercr | Method: POST | To: /api/blog/comment/create_comment | Body: {"threadId":126,"content":"","authorId":1}
2020-04-01 10:42:35:4235 info: User: aadlercr | Method: POST | To: /api/blog/comment/create_comment | Body: {"threadId":126,"content":"","authorId":1}
2020-04-01 10:42:54:4254 info: User: aadlercr | Method: POST | To: /api/blogs/comment/create_comment | Body: {"threadId":126,"content":"","authorId":1}
2020-04-01 10:43:08:438 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":126,"content":"","authorId":1}
2020-04-01 10:43:45:4345 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":126,"content":"","authorId":1}
2020-04-01 10:44:00:440 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":126,"content":"","authorId":1}
2020-04-01 10:45:12:4512 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":126,"content":"","authorId":1}
2020-04-01 10:45:32:4532 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":126,"content":"123","authorId":"1"}
2020-04-01 10:45:41:4541 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":126,"content":"123","authorId":"a"}
2020-04-01 10:46:24:4624 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":126,"content":"123"}
2020-04-01 10:46:37:4637 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":126,"content":"123"}
2020-04-01 11:16:30:1630 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":126,"content":"123"}
2020-04-01 11:18:00:180 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":126,"content":"123"}
2020-04-01 11:19:20:1920 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":126,"content":"123"}
2020-04-01 11:19:54:1954 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":126,"content":"123"}
2020-04-01 11:20:54:2054 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":126,"content":"123"}
2020-04-01 11:26:15:2615 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":126,"content":"123"}
2020-04-01 11:26:32:2632 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":126,"content":"123"}
2020-04-01 11:26:41:2641 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":126,"content":"123"}
2020-04-01 11:54:11:5411 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":126,"content":"123"}
2020-04-01 12:01:45:145 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":1126,"content":"123"}
2020-04-01 12:07:37:737 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":1126,"content":"123"}
2020-04-01 12:09:34:934 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":1126,"content":"123"}
2020-04-01 12:09:51:951 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":1126,"content":"123"}
2020-04-01 12:10:59:1059 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":1126,"content":"123"}
2020-04-01 12:11:37:1137 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":1126,"content":"123"}
2020-04-01 12:13:06:136 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"threadId":1126,"content":"123"}
2020-04-01 12:14:26:1426 info: User: aadlercr | Method: GET | To: /api/projects | Query: {"page":"1","order":"popular","reverse":"false"}
2020-04-01 12:14:27:1427 info: User: aadlercr | Method: GET | To: /api/projects/20 | Query: {}
2020-04-01 12:14:27:1427 info: User: aadlercr | Method: GET | To: /api/projects/boards/8 | Query: {"loc":"/projects/20"}
2020-04-01 12:14:28:1428 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/287 | Query: {"page":"1"}
2020-04-01 12:14:29:1429 info: User: aadlercr | Method: GET | To: /api/projects/boards/8 | Query: {"loc":"/projects/20"}
2020-04-01 12:14:29:1429 info: User: aadlercr | Method: GET | To: /api/blogs | Query: {"page":"1","order":"popular","reverse":"false"}
2020-04-01 12:14:30:1430 info: User: aadlercr | Method: GET | To: /api/blogs/31 | Query: {}
2020-04-01 12:14:30:1430 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/311 | Query: {"page":"1"}
2020-04-01 12:14:35:1435 info: User: aadlercr | Method: POST | To: /api/blogs/create_comment | Body: {"content":"test","threadId":311,"originLink":"/forum/31","OPAuthorId":1}
2020-04-01 12:16:28:1628 info: User: aadlercr | Method: GET | To: /api/users/me | Query: {}
2020-04-01 12:16:28:1628 info: User: aadlercr | Method: GET | To: /api/blogs | Query: {"page":"1","order":"popular","reverse":"false"}
2020-04-01 12:16:28:1628 info: User: aadlercr | Method: GET | To: /api/blogs/31 | Query: {}
2020-04-01 12:16:29:1629 info: User: aadlercr | Method: GET | To: /api/blogs/commentthread/311 | Query: {"page":"1"}
2020-04-01 12:17:09:179 info: User: aadlercr | Method: POST | To: /api/blogs/commenttread/311 | Body: {"threadId":1126,"content":"123"}
